Text-density corpus filtering report
==================================================

Kept 20 of 195 downloaded papers

KEPT:
  2412.14369v2: 8 pages, 6540.2 chars/page
  2411.16245v2: 6 pages, 6103.0 chars/page
  2412.16874v3: 5 pages, 5983.4 chars/page
  2412.15576v4: 7 pages, 5916.4 chars/page
  2409.14494v3: 5 pages, 5862.0 chars/page
  2411.14471v1: 8 pages, 5805.6 chars/page
  2406.12070v3: 33 pages, 5792.2 chars/page
  2412.01100v2: 5 pages, 5643.4 chars/page
  2411.12193v2: 5 pages, 5504.0 chars/page
  2406.18345v3: 12 pages, 5435.3 chars/page
  2407.08192v3: 7 pages, 5433.4 chars/page
  2402.05967v7: 10 pages, 5432.6 chars/page
  2411.12363v3: 13 pages, 5428.1 chars/page
  2412.18222v1: 6 pages, 5344.2 chars/page
  2410.22568v1: 9 pages, 5278.4 chars/page
  2412.09374v3: 9 pages, 5257.6 chars/page
  2409.17606v2: 15 pages, 5237.5 chars/page
  2412.14029v2: 13 pages, 5216.1 chars/page
  2409.17635v2: 5 pages, 5167.0 chars/page
  2411.03915v2: 7 pages, 5081.6 chars/page

DROPPED:
  2412.00886v2: 53 pages, 5028.3 chars/page
  2411.02951v2: 6 pages, 5021.2 chars/page
  2411.16277v1: 10 pages, 4984.3 chars/page
  2410.16441v2: 14 pages, 4978.9 chars/page
  2411.02558v1: 9 pages, 4943.6 chars/page
  2405.12292v3: 35 pages, 4775.2 chars/page
  2411.18473v2: 10 pages, 4768.7 chars/page
  2407.16566v5: 12 pages, 4766.9 chars/page
  2409.20319v2: 10 pages, 4757.3 chars/page
  2407.08797v3: 10 pages, 4719.8 chars/page
  2407.11336v2: 58 pages, 4706.8 chars/page
  2401.02247v4: 7 pages, 4698.7 chars/page
  2404.17736v3: 13 pages, 4688.1 chars/page
  2412.00651v1: 21 pages, 4612.3 chars/page
  2407.07368v3: 14 pages, 4611.9 chars/page
  2412.00566v2: 15 pages, 4533.5 chars/page
  2404.11929v3: 12 pages, 4488.2 chars/page
  2404.18775v4: 15 pages, 4392.3 chars/page
  2409.13674v3: 22 pages, 4382.0 chars/page
  2411.03988v2: 19 pages, 4371.0 chars/page
  2408.02322v2: 11 pages, 4361.2 chars/page
  2411.07216v2: 20 pages, 4202.9 chars/page
  2412.04468v2: 21 pages, 4200.7 chars/page
  2412.20317v3: 13 pages, 4165.5 chars/page
  2406.01756v2: 25 pages, 4157.7 chars/page
  2408.10999v2: 13 pages, 4114.3 chars/page
  2411.13673v2: 19 pages, 4113.3 chars/page
  2407.18909v1: 16 pages, 4083.5 chars/page
  2412.12639v3: 11 pages, 4059.2 chars/page
  2402.04703v2: 12 pages, 4048.4 chars/page
  2410.20081v3: 17 pages, 3993.1 chars/page
  2404.07575v4: 11 pages, 3925.5 chars/page
  2412.09393v2: 36 pages, 3904.8 chars/page
  2406.09018v2: 16 pages, 3855.6 chars/page
  2409.00578v2: 13 pages, 3855.6 chars/page
  2412.04313v2: 13 pages, 3798.5 chars/page
  2410.05401v2: 18 pages, 3770.9 chars/page
  2412.15322v2: 22 pages, 3641.7 chars/page
  2402.16901v2: 20 pages, 3596.6 chars/page
  2411.02729v2: 27 pages, 3532.1 chars/page
  2409.02476v2: 17 pages, 3528.0 chars/page
  2412.14784v3: 29 pages, 3522.1 chars/page
  2405.16924v2: 28 pages, 3497.0 chars/page
  2406.07366v2: 28 pages, 3375.9 chars/page
  2408.11878v2: 30 pages, 3368.5 chars/page
  2408.13230v2: 28 pages, 3349.7 chars/page
  2404.16880v3: 29 pages, 3349.0 chars/page
  2408.09344v2: 12 pages, 3332.4 chars/page
  2405.01155v3: 26 pages, 3320.2 chars/page
  2407.11758v1: 17 pages, 3317.8 chars/page
  2411.08072v1: 15 pages, 3304.1 chars/page
  2412.04997v2: 14 pages, 3290.8 chars/page
  2405.06851v2: 17 pages, 3287.1 chars/page
